iter	Passed	Remaining
399	41323	61985
400	41428	61884
401	41537	61789
402	41636	61679
403	41742	61581
404	41847	61480
405	41945	61367
406	42057	61278
407	42153	61163
408	42247	61047
409	42354	60949
410	42461	60851
411	42565	60749
412	42669	60646
413	42773	60544
414	42872	60434
415	42971	60325
416	43069	60214
417	43161	60095
418	43256	59980
419	43359	59877
420	43457	59766
421	43561	59664
422	43670	59569
423	43771	59463
424	43870	59353
425	43972	59249
426	44075	59146
427	44177	59040
428	44280	58936
429	44385	58836
430	44483	58727
431	44583	58618
432	44693	58524
433	44788	58410
434	44891	58306
435	44996	58206
436	45098	58102
437	45197	57993
438	45301	57890
439	45411	57796
440	45512	57690
441	45627	57601
442	45743	57514
443	45863	57433
444	45981	57347
445	46118	57286
446	46252	57220
447	46403	57175
448	46534	57105
449	46645	57011
450	46757	56917
451	46875	56830
452	46981	56730
453	47087	56628
454	47218	56558
455	47340	56476
456	47451	56380
457	47568	56293
458	47686	56206
459	47811	56126
460	47922	56031
461	48020	55919
462	48138	55832
463	48243	55729
464	48356	55635
465	48463	55535
466	48575	55440
467	48673	55329
468	48780	55229
469	48880	55120
470	48978	55009
471	49079	54902
472	49182	54797
473	49289	54696
474	49390	54589
475	49487	54477
476	49597	54380
477	49703	54278
478	49809	54176
479	49912	54071
480	50017	53969
481	50117	53860
482	50216	53750
483	50310	53637
484	50403	53521
485	50505	53415
486	50609	53311
487	50716	53210
488	50815	53101
489	50914	52992
490	51015	52885
491	51115	52777
492	51216	52670
493	51317	52564
494	51415	52454
495	51513	52343
496	51610	52233
497	51715	52130
498	51812	52019
499	51916	51916
500	52028	51821
501	52143	51727
502	52248	51624
503	52356	51525
504	52465	51426
505	52565	51319
506	52680	51225
507	52798	51135
508	52911	51040
509	53059	50979
510	53186	50896
511	53309	50810
512	53432	50724
513	53563	50645
514	53696	50568
515	53831	50493
516	53960	50411
517	54090	50331
518	54212	50242
519	54334	50154
520	54468	50077
521	54587	49986
522	54703	49892
523	54817	49796
524	54927	49696
525	55036	49595
526	55146	49495
527	55255	49394
528	55362	49292
529	55474	49194
530	55591	49100
531	55705	49003
532	55825	48913
533	55924	48803
534	56037	48705
535	56134	48594
536	56236	48487
537	56344	48384
538	56437	48270
539	56539	48163
540	56648	48062
541	56749	47954
542	56855	47850
543	56954	47741
544	57049	47628
545	57150	47520
546	57259	47419
547	57356	47309
548	57469	47210
549	57575	47106
550	57682	47004
551	57791	46903
552	57901	46802
553	58014	46705
554	58121	46601
555	58220	46492
556	58325	46388
557	58433	46285
558	58540	46182
559	58643	46077
560	58744	45969
561	58845	45861
562	58945	45753
563	59047	45647
564	59161	45548
565	59283	45457
566	59392	45356
567	59501	45254
568	59602	45147
569	59713	45047
570	59808	44935
571	59916	44832
572	60020	44727
573	60127	44624
574	60230	44518
575	60331	44410
576	60435	44305
577	60531	44194
578	60642	44093
579	60742	43985
580	60852	43885
581	60952	43776
582	61069	43680
583	61175	43577
584	61283	43474
585	61384	43366
586	61488	43261
587	61585	43151
588	61688	43045
589	61793	42941
590	61895	42834
591	61999	42729
592	62131	42643
593	62230	42534
594	62326	42423
595	62424	42314
596	62527	42208
597	62618	42094
598	62716	41985
599	62813	41875
600	62918	41771
601	63027	41669
602	63135	41566
603	63232	41456
604	63330	41347
605	63439	41245
606	63534	41135
607	63637	41029
608	63739	40923
609	63850	40822
610	63952	40715
611	64053	40609
612	64150	40499
613	64248	40390
614	64353	40286
615	64453	40178
616	64549	40068
617	64652	39963
618	64772	39868
619	64887	39769
620	64993	39666
621	65093	39558
622	65189	39448
623	65289	39341
624	65402	39241
625	65514	39141
626	65619	39036
627	65721	38930
628	65816	38820
629	65918	38713
630	66023	38609
631	66127	38504
632	66224	38395
633	66314	38282
634	66420	38178
635	66526	38074
636	66632	37970
637	66738	37867
638	66834	37758
639	66929	37647
640	67022	37536
641	67131	37434
642	67242	37333
643	67339	37224
644	67438	37117
645	67535	37008
646	67636	36902
647	67744	36799
648	67851	36696
649	67952	36589
650	68054	36484
651	68146	36372
652	68254	36269
653	68360	36166
654	68459	36058
655	68555	35950
656	68664	35847
657	68768	35742
658	68871	35637
659	68968	35529
660	69055	35415
661	69155	35309
662	69256	35202
663	69348	35091
664	69449	34986
665	69549	34879
666	69643	34769
667	69756	34669
668	69849	34559
669	69943	34449
670	70038	34340
671	70137	34233
672	70239	34128
673	70344	34024
674	70443	33917
675	70536	33807
